method,feat,seq_id,-xent@16,acc 8/16,acc 1/16
median,location_cand,49,-0.96840686,0.5879121,0.20054945
median,location_cand,50,-0.9598513,0.63432837,0.17661692
median,location_cand,51,-0.94248086,0.6862069,0.17586207
median,location_cand,52,-0.96151793,0.7175,0.1025
median,location_cand,53,-0.98324156,0.5785124,0.10743801
median,location_cand,54,-0.6702886,0.878,0.39
median,location_cand,55,-0.6596259,0.902,0.426
median,location_cand,56,-0.75420815,0.834,0.328
median,location_cand,57,-0.6792809,0.872,0.386
median,location_cand,58,-0.63772446,0.914,0.322
median,location_cand,59,-0.73159736,0.88,0.52
median,location_cand,60,-0.58067954,0.9518072,0.32128513
median,location_cand,61,-0.6227495,0.95454544,0.29545453
median,location_cand,62,-0.60359293,0.9489051,0.30656934
median,location_cand,63,-0.58956194,0.9503106,0.3478261
median,location_cand,64,-0.7784788,0.74285716,0.34285715
median,location_cand,65,-0.66077,0.9785714,0.27857143
median,location_cand,66,-0.5877234,0.886076,0.48734176
median,location_cand,67,-0.69768596,0.96825397,0.31746033
median,location_cand,68,-0.669487,1.0,0.44354838
median,location_cand,69,-0.80298877,0.832,0.322
median,location_cand,70,-0.7463417,0.90262175,0.52059925
median,location_cand,71,-0.9453187,0.75736964,0.2154195
median,location_cand,72,-0.61024195,0.94311374,0.41616768
median,location_cand,73,-0.8308052,0.84131736,0.18263473
median,location_cand,74,-0.5749787,0.98802394,0.24550898
median,location_cand,75,-0.99909794,0.47191012,0.06741573
median,location_cand,76,-0.99740416,0.5020243,0.0708502
median,location_cand,77,-0.99864274,0.5,0.043956045
median,location_cand,78,-0.99692065,0.42335767,0.08029197
